,scopus_id,title,publication_name,issn,isbn,eissn,volume,page_range,cover_date,doi,citation_count,affiliation,aggregation_type,subtype_description,authors,full_text
0,85167516396,An LSTM based cross-site scripting attack detection scheme for Cloud Computing environments,Journal of Cloud Computing,,,2192113X,12,,2023-12-01,10.1186/s13677-023-00483-x,0,"[{'name': 'Beijing University of Posts and Telecommunications', 'city': 'Beijing', 'country': 'China'}, {'name': 'Beijing Institute of Control and Electronic Technology', 'city': 'Beijing', 'country': 'China'}]",Journal,Article,"['57222408825', '58529910200', '57222400611', '57219671030', '58603493700', '57222399821', '58529801900', '57360375200']",
1,85168730096,ZTWeb: Cross site scripting detection based on zero trust,Computers and Security,01674048,,,134,,2023-11-01,10.1016/j.cose.2023.103434,0,"[{'name': 'Tianjin University', 'city': 'Tianjin', 'country': 'China'}, {'name': 'Jiangxi Normal University', 'city': 'Nanchang', 'country': 'China'}, {'name': 'Jiangxi Provincial Engineering Research Center of Blockchain Data Security and Governance', 'city': 'Nanchang', 'country': 'China'}]",Journal,Article,"['58548008400', '56984876600', '57022407900', '57208469280']",https://api.elsevier.com/content/article/eid/1-s2.0-S0167404823003449
2,85150489378,Detection of cross-site scripting (XSS) attacks using machine learning techniques: a review,Artificial Intelligence Review,02692821,,15737462,56,12725-12769,2023-11-01,10.1007/s10462-023-10433-3,2,"[{'name': 'Chandigarh University', 'city': 'Mohali', 'country': 'India'}, {'name': 'University of Petroleum and Energy Studies', 'city': 'Dehradun', 'country': 'India'}]",Journal,Article,"['57212501970', '57210605091', '57197866300']",
3,85163528486,Cost-effective detection system of cross-site scripting attacks using hybrid learning approach,Results in Engineering,,,25901230,19,,2023-09-01,10.1016/j.rineng.2023.101266,0,"[{'name': 'Princess Sumaya University', 'city': 'Amman', 'country': 'Jordan'}]",Journal,Article,['57939384700'],https://api.elsevier.com/content/article/eid/1-s2.0-S2590123023003936
4,85169151006,State-Sensitive Black-Box Web Application Scanning for Cross-Site Scripting Vulnerability Detection,Applied Sciences (Switzerland),,,20763417,13,,2023-08-01,10.3390/app13169212,0,"[{'name': 'National University of Defense Technology China', 'city': 'Changsha', 'country': 'China'}, {'name': 'Anhui Province Key Laboratory of Cyberspace Security Situation Awareness and Evaluation', 'city': 'Hefei', 'country': 'China'}]",Journal,Article,"['58555125300', '55738311000', '57190569944', '57220843926', '57217106430']",
5,85167668003,Splendor: Static Detection of Stored XSS in Modern Web Applications,ISSTA 2023 - Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,,"[{'@_fa': 'true', '$': '9798400702211'}]",,,1043-1054,2023-07-12,10.1145/3597926.3598116,0,"[{'name': 'Institute of Information Engineering', 'city': 'Beijing', 'country': 'China'}, {'name': 'University of Chinese Academy of Sciences', 'city': 'Beijing', 'country': 'China'}]",Conference Proceeding,Conference Paper,"['57208230227', '55624942700', '57208128783', '58532733000', '58532733100', '57215304052', '57193434099', '57202860764']",
6,85164960942,Detection of Reflected XSS Vulnerabilities Based on Paths-Attention Method,Applied Sciences (Switzerland),,,20763417,13,,2023-07-01,10.3390/app13137895,0,"[{'name': 'Shenyang Ligong University', 'city': 'Shenyang', 'country': 'China'}]",Journal,Article,"['37010354000', '58490487300', '58362540000', '58489598200']",
7,85163933483,Machine and Deep Learning-based XSS Detection Approaches: A Systematic Literature Review,Journal of King Saud University - Computer and Information Sciences,13191578,,22131248,35,,2023-07-01,10.1016/j.jksuci.2023.101628,0,"[{'name': 'Universiti Putra Malaysia', 'city': 'Serdang', 'country': 'Malaysia'}]",Journal,Review,"['57220816020', '11139534100', '55444812700', '57202656008']",https://api.elsevier.com/content/article/eid/1-s2.0-S1319157823001829
8,85151015421,Multistage quality control in manufacturing process using blockchain with machine learning technique,Information Processing and Management,03064573,,,60,,2023-07-01,10.1016/j.ipm.2023.103341,1,"[{'name': 'European University Cyprus', 'city': 'Nicosia', 'country': 'Cyprus'}, {'name': 'Nanjing Tech University', 'city': 'Nanjing', 'country': 'China'}, {'name': 'Yangzhou University', 'city': 'Yangzhou', 'country': 'China'}, {'name': 'Universiti Kebangsaan Malaysia', 'city': 'Bangi', 'country': 'Malaysia'}, {'name': 'Universiti Teknologi PETRONAS', 'city': 'Seri Iskandar', 'country': 'Malaysia'}]",Journal,Article,"['57208543405', '57887981400', '36607149900', '25824626100', '55695419300']",https://api.elsevier.com/content/article/eid/1-s2.0-S030645732300078X
9,85166549951,WOA-XGboost classifier to detect XSS attacks,AIP Conference Proceedings,0094243X,"[{'@_fa': 'true', '$': '9780735445390'}]",15517616,2782,,2023-06-15,10.1063/5.0154460,0,"[{'name': 'JECRC University', 'city': 'Jaipur', 'country': 'India'}, {'name': 'Manipal University Jaipur', 'city': 'Jaipur', 'country': 'India'}]",Conference Proceeding,Conference Paper,"['57201605277', '26424146800']",
